,aclose
2019-03-22,104.6512
2019-03-29,105.8895
2019-04-05,107.5255
2019-04-12,108.3285
2019-04-18,105.3116
2019-04-26,104.6437
2019-05-03,105.2516
2019-05-10,102.7674
2019-05-17,102.008
2019-05-24,100.4587
2019-05-31,96.4413
2019-06-07,101.2409
2019-06-14,102.6383
2019-06-21,105.714
2019-06-28,104.7268
2019-07-05,107.3696
2019-07-12,108.4024
2019-07-19,113.673
2019-07-26,114.9488
2019-08-02,111.8275
2019-08-09,104.578
2019-08-16,102.7573
2019-08-23,99.5384
2019-08-30,104.117
2019-09-06,107.9889
2019-09-13,110.3704
2019-09-20,108.9952
2019-09-27,110.04
2019-10-04,109.848
2019-10-11,109.6713
2019-10-18,103.0108
2019-10-25,104.0479
2019-11-01,104.117
2019-11-08,106.9587
2019-11-15,104.4637
2019-11-22,104.4171
2019-11-29,104.5026
2019-12-06,103.5466
2019-12-13,104.3161
2019-12-20,105.3887
2019-12-27,105.14
2020-01-03,104.4171
2020-01-10,106.2437
2020-01-17,107.5028
2020-01-24,109.2517
2020-01-31,111.7156
2020-02-07,120.4986
2020-02-14,118.37
2020-02-21,117.6945
2020-02-28,102.2286
2020-03-06,100.3278
2020-03-13,84.7912
2020-03-20,74.9258
2020-03-27,84.8541
2020-04-03,83.5266
2020-04-09,95.4343
2020-04-17,94.3504
2020-04-24,97.9635
2020-05-01,95.725
2020-05-08,97.9036
2020-05-15,93.1194
2020-05-22,94.2418
2020-05-29,99.424
2020-06-05,105.1236
2020-06-12,97.0439
2020-06-19,97.4896
2020-06-26,93.2866
2020-07-02,95.2846
2020-07-10,94.21
2020-07-17,99.5912
2020-07-24,100.1325
2020-07-31,97.8638
2020-08-07,100.7693
2020-08-14,101.0193
2020-08-21,99.3177
2020-08-28,100.858
2020-09-04,98.6242
2020-09-11,97.9468
2020-09-18,98.9952
2020-09-25,95.9227
2020-10-02,97.2291
2020-10-09,103.0514
2020-10-16,101.5515
2020-10-23,93.5438
2020-10-30,90.044
2020-11-06,91.9633
2020-11-13,95.5587
2020-11-20,95.6324
2020-11-27,101.6922
2020-12-04,104.0229
2020-12-11,101.6268
2020-12-18,102.9189
2020-12-24,101.9702
2020-12-31,102.9434
2021-01-08,105.1105
2021-01-15,104.996
2021-01-22,96.9981
2021-01-29,97.407
2021-02-05,99.5986
2021-02-12,100.1078
2021-02-19,98.6079
2021-02-26,98.5581
2021-03-05,101.7901
2021-03-12,105.7513
2021-03-19,106.8204
2021-03-26,113.0191
2021-04-01,110.4087
2021-04-09,112.4804
2021-04-16,110.707
2021-04-23,118.0328
2021-04-30,117.577
2021-05-07,121.9028
